logged_at_utc,scan_type,ticker,yf_first,yf_last,yf_bars,sa_first,sa_last,sa_bars,common_days,sa_staleness_days,close_pct_diff_last,close_pct_diff_max,close_pct_diff_mean,adj_pct_diff_last,adj_pct_diff_max,last_common_date,yf_close,sa_close,sa_adj,yf_volume,sa_volume,volume_pct_diff_last,ohlc_pct_diff_max_last,note
2026-08-31T12:39:15.806423+00:00,pre_market,ABBV,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,1.5237,0.7227,25447.9996,26497.0001,2026-08-28,255.48,255.48,1.0,3224400,3224862.698204,-0.0143,0.0001,
2026-08-31T12:39:15.806423+00:00,pre_market,ABT,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.3272,0.675,11147.0001,11566.9998,2026-08-28,112.47,112.47,1.0,7545100,7545562,-0.0061,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,ADI,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,0.5844,0.1412,36077.9999,44448.0011,2026-08-28,361.78,361.78,1.0,3338300,3350464.853866,-0.3631,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,AMAT,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,0.2309,0.157,46067.0013,72200.0018,2026-08-28,461.67,461.67,1.0,6524800,6531804,-0.1072,0.001,
2026-08-31T12:39:15.806423+00:00,pre_market,AMD,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,0.0011,0.0,46457.9987,57990.9973,2026-08-28,465.58,465.58,1.0,15338800,15373949.017776,-0.2286,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,AMGN,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.3261,0.8667,43142.0013,44283.9996,2026-08-28,432.42,432.42,1.0,1739700,1739954,-0.0146,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,AMZN,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,0.0,0.0,26542.9993,28301.9989,2026-08-28,266.43,266.43,1.0,49475500,49547427.328018,-0.1452,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,ASML,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,0.3468,0.1719,169516.0034,198843.9698,2026-08-28,1696.16,1696.16,1.0,1257700,1259364.454404,-0.1322,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,AVGO,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,0.367,0.1214,36779.0009,48057.0011,2026-08-28,368.79,368.79,1.0,16572500,16596066.612318,-0.142,0.0004,
2026-08-31T12:39:15.806423+00:00,pre_market,BKNG,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,0.4778,0.1406,20463.0005,21341.9998,2026-08-28,205.63,205.63,1.0,3591700,3591995,-0.0082,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,BMY,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,2.1254,0.9372,6558.0002,6691.9998,2026-08-28,66.58,66.58,1.0,5542900,5543592,-0.0125,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,CFG,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,1.3548,0.769,6870.9999,7373.0003,2026-08-28,69.71,69.71,1.0,2393200,2393194.814482,0.0002,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,CFR,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.6411,0.7559,0.377,16069.0002,17017.0394,2026-08-28,161.69,160.66,1.0,382200,384643.91738,-0.6354,0.6442,
2026-08-31T12:39:15.806423+00:00,pre_market,FITB,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.5934,0.6122,5354.0001,5836.9999,2026-08-28,54.54,54.54,1.0,5617800,5618028,-0.0041,0.0092,
2026-08-31T12:39:15.806423+00:00,pre_market,GILD,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,1.2139,0.4183,14467.9993,14902.9985,2026-08-28,145.68,145.68,1.0,3946900,3946913.490047,-0.0003,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,HBAN,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.8931,0.6277,1592.0,1755.9999,2026-08-28,16.92,16.92,1.0,21522600,21522601.926058,-0.0,0.0006,
2026-08-31T12:39:15.806423+00:00,pre_market,HD,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.4037,0.4318,32919.0002,36981.0001,2026-08-28,330.19,330.19,1.0,3136100,3136575.951407,-0.0152,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,ISRG,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,0.0014,0.0,37160.0006,50017.9993,2026-08-28,372.6,372.6,1.0,1801600,1802434.158943,-0.0463,0.0014,
2026-08-31T12:39:15.806423+00:00,pre_market,JNJ,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.0598,0.7417,26704.0009,27240.9992,2026-08-28,268.04,268.04,1.0,5765600,5766429.461249,-0.0144,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,KEY,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,1.9516,0.5059,2091.0,2299.0,2026-08-28,21.91,21.91,1.0,7591500,7591558,-0.0008,0.022,
2026-08-31T12:39:15.806423+00:00,pre_market,KLAC,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,0.2402,0.1585,17453.9993,30070.9985,2026-08-28,175.54,175.54,1.0,9956300,9970532.849337,-0.1427,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,LLY,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,0.3147,0.2028,117360.9985,127933.9966,2026-08-28,1174.61,1174.61,1.0,2450800,2451810.083574,-0.0412,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,LOW,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.089,0.6134,20705.0003,25761.9992,2026-08-28,208.05,208.05,1.0,2791600,2791791,-0.0068,0.001,
2026-08-31T12:39:15.806423+00:00,pre_market,MCD,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.2254,0.3465,26400.0,33382.0008,2026-08-28,265.0,265,1.0,3887300,3891302.880578,-0.1029,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,MRK,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,0.0,1.444,0.4716,14735.0006,15544.9997,2026-08-28,148.35,148.35,1.0,8067000,8067848.171567,-0.0105,0.0015,
2026-08-31T12:39:15.806423+00:00,pre_market,MTB,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,0.6941,0.3471,23628.9993,25308.9996,2026-08-28,237.29,237.29,1.0,868300,868277,0.0026,0.0,
2026-08-31T12:39:15.806423+00:00,pre_market,MU,2026-03-02,2026-08-28,126,2025-08-28,2026-08-28,252,126,0,-0.0,0.0574,0.0172,93185.9985,121256.0007,2026-08-28,932.86,932.86,1.0,22820800,22890088.27575,-0.3027,0.0,
